Date,Open,High,Low,Volume,DJI_Close,IR,USD_Bar,XR,Pred_Close
2015-08-19,95500,96900,94200,277092,17348.730469,1.5,40.75,-0.16,95612.0
2015-08-20,95100,98400,94800,358572,16990.689453,1.5,41.0,0.07,97988.0
2015-08-21,94000,96100,93000,413973,16459.75,1.5,40.45,0.92,94600.0
2015-09-04,97200,97900,95300,222149,16102.379883000001,1.5,46.02,0.86,96200.0
2015-09-10,96500,99600,96200,266290,16330.400391,1.5,45.85,-0.72,97608.0
2015-09-27,96100,96700,95000,176573,16314.669922,1.5,45.55,0.16,96000.0
2015-09-29,96100,96700,95000,176573,16049.129883000001,1.5,45.24,-0.0,96016.0
2015-10-05,104500,110000,104000,854362,16776.429688,1.5,46.28,-1.03,107060.0
2015-10-09,114000,116000,112000,328374,17084.490234,1.5,49.67,-0.43,114000.0
2015-10-28,114500,115500,111500,412483,17779.519531,1.5,45.93,0.83,113875.0
2015-10-30,117500,120000,116000,497680,17663.539063,1.5,46.6,-0.09,118500.0
2015-11-03,116500,122000,111500,1174944,17918.150391,1.5,47.88,-0.74,117470.0
2015-11-27,129000,134000,129000,285540,17813.390625,1.5,40.57,0.69,132000.0
2015-11-30,131000,131500,126500,476603,17719.919922,1.5,40.43,0.33,127860.0
2016-02-16,131500,137500,131000,466802,16196.410156,1.5,29.05,0.34,134020.0
2016-02-19,141000,144500,140000,340465,16391.990234,1.5,29.59,0.4,144500.0
2016-03-03,148000,151000,148000,421129,16943.900391,1.5,34.56,-1.06,148990.0
2016-03-05,151000,151500,147000,237190,17006.769531,1.5,35.91,-1.12,149500.0
2016-03-12,156500,157500,154500,288257,17213.310547,1.5,38.51,-1.46,154500.0
2016-03-22,164000,164500,161500,182382,17582.570313,1.5,41.45,-0.35,162645.0
2016-04-07,173000,173000,169000,196337,17541.960938,1.5,37.3,0.43,170415.0
2016-05-16,153000,156500,151500,183060,17710.710938,1.5,47.72,0.12,155050.0
2016-05-22,148000,153500,147000,241719,17500.939453,1.5,47.67,-0.11,151000.0
2016-05-31,163000,164000,161500,362823,17787.199219,1.5,49.1,-0.31,162355.0
2016-06-01,162000,164000,157000,226225,17789.669922,1.5,49.07,0.22,159730.0
2016-06-19,149000,149000,142000,351576,17675.160156,1.25,48.0,-0.19,142500.0
2016-06-20,144500,145500,139500,397833,17804.869141,1.25,49.4,-0.9,140465.0
2016-07-08,139000,139500,136000,337485,18146.740234,1.25,45.37,-0.73,136500.0
2016-07-18,147500,149000,146000,308607,18533.050781,1.25,45.23,-0.3,147310.0
2016-07-23,143000,150000,143000,270566,18570.849609,1.25,43.41,-0.15,150000.0
2016-07-26,149500,151500,146500,351171,18473.75,1.25,42.16,-0.41,148885.0
2016-07-29,145000,147500,145000,225322,18432.240234,1.25,41.54,-1.1,146000.0
2016-08-08,151500,151500,148500,262561,18529.289063,1.25,43.06,-0.69,150185.0
2016-08-20,155500,156500,152000,197756,18552.570313,1.25,48.48,0.67,155500.0
2016-08-22,155500,155500,152500,189122,18529.419922,1.25,46.8,0.73,154585.0
2016-09-01,144500,148500,143500,226010,18419.300781,1.25,43.17,0.16,145145.0
2016-09-21,152000,154500,151500,151952,18293.699219,1.25,45.33,-1.2,152765.0
2016-09-27,160000,160000,156500,304682,18228.300781,1.25,44.65,-1.08,157375.0
2016-09-29,159000,163500,158500,697944,18143.449219,1.25,47.72,0.92,161540.0
2016-10-07,157000,158000,155500,217389,18240.490234,1.25,49.76,0.04,157500.0
2016-11-09,155500,156500,150500,311729,18589.689453,1.25,45.2,2.57,152695.0
2016-12-04,154500,155500,151500,224910,19170.419922,1.25,51.7,-0.04,152000.0
2016-12-11,155000,155000,151000,251388,19756.849609,1.25,51.51,0.87,151500.0
2016-12-19,153000,154000,149000,335995,19883.060547,1.25,52.13,0.13,151285.0
2016-12-21,147000,149000,146000,300916,19941.960938,1.25,51.44,0.17,146800.0
2016-12-27,150500,152500,149500,365601,19945.039063,1.25,52.82,0.56,150880.0
2017-01-13,161500,163000,160500,184737,19885.730469,1.25,52.36,-0.08,162000.0
2017-01-19,162500,163000,160000,172204,19732.400391,1.25,51.39,-0.27,161645.0
2017-01-28,163500,163500,161000,144600,20093.779297,1.25,53.18,0.55,162000.0
