Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct,DJI_Close,IR,USD_Bar,XR,XR_Pct_Change
2020-08-10,57800,300,0.52,17774291,-628631,-226046,3339282837,55.94,27791.439453,0.5,41.94,-0.30,1185.58
2020-08-09,57800,300,0.52,17774291,-628631,-226046,3339282837,55.94,27791.439453,0.5,41.16,0.44,1189.18
2020-08-08,57800,300,0.52,17774291,-628631,-226046,3339282837,55.94,27791.439453,0.5,41.16,0.44,1189.18
2020-08-07,57500,500,-0.86,18751717,-3358271,1439330,3339289268,55.94,27433.480469,0.5,41.16,0.44,1189.18
2020-08-06,58000,1100,1.93,21625874,147756,635304,3337635274,55.91,27386.980469,0.5,41.93,-0.19,1184.00
2020-08-05,56900,400,-0.70,17739706,-2880624,-1487521,3336912129,55.90,27201.519531,0.5,42.25,-0.59,1186.24
2020-08-04,57300,500,0.88,19419694,-622191,-1190734,3338111034,55.92,26828.470703,0.5,41.67,0.05,1193.32
2020-08-03,56800,1100,-1.90,21158940,-1592111,-3135997,3339228864,55.94,26664.400391,0.5,40.83,-0.12,1192.70
2020-08-02,56800,1100,-1.90,21158940,-1592111,-3135997,3339228864,55.94,26664.400391,0.5,40.1,0.37,1194.09
2020-08-01,56800,1100,-1.90,21158940,-1592111,-3135997,3339228864,55.94,26664.400391,0.5,40.1,0.37,1194.09
2020-07-31,57900,1100,-1.86,21943345,-2185878,-1323211,3342603301,55.99,26428.320313,0.5,40.1,0.37,1194.09
2020-07-30,59000,0,0.00,19285354,-1028015,1579114,3343814043,56.01,26313.650391,0.5,39.85,-0.03,1189.73
2020-07-29,59000,400,0.68,36476611,-1453164,4824113,3342000929,55.98,26539.570313,0.5,41.13,-0.79,1190.04
2020-07-28,58600,3000,5.40,48431566,214491,15914662,3337129816,55.90,26379.279297,0.5,40.89,0.29,1199.55
2020-07-27,55600,1400,2.58,21054421,1564238,7030481,3320606041,55.62,26584.769531,0.5,41.46,-0.46,1196.07
2020-07-26,55600,1400,2.58,21054421,1564238,7030481,3320606041,55.62,26584.769531,0.5,41.23,-0.03,1201.59
2020-07-25,55600,1400,2.58,21054421,1564238,7030481,3320606041,55.62,26584.769531,0.5,41.23,-0.03,1201.59
2020-07-24,54200,100,0.18,10994535,-1060195,1393479,3313429996,55.50,26469.890625,0.5,41.23,-0.03,1201.59
2020-07-23,54100,600,-1.10,16214932,-2749215,-1271389,3310936379,55.46,26652.330078,0.5,40.99,0.38,1201.95
2020-07-22,54700,600,-1.08,12885057,-911194,-389686,3312100431,55.48,27005.839844,0.5,41.88,0.28,1197.38
2020-07-21,55300,1100,2.03,18297260,1532617,5693182,3312295217,55.48,26840.400391,0.5,41.76,-0.58,1194.04
2020-07-20,54200,200,-0.37,10507530,-1177682,1132513,3306586922,55.39,26680.869141,0.5,40.83,-0.24,1201.02
2020-07-19,54200,200,-0.37,10507530,-1177682,1132513,3306586922,55.39,26680.869141,0.5,40.55,-0.11,1203.94
2020-07-18,54200,200,-0.37,10507530,-1177682,1132513,3306586922,55.39,26680.869141,0.5,40.55,-0.11,1203.94
2020-07-17,54400,600,1.12,10096174,361430,1535456,3305516184,55.37,26671.949219,0.5,40.55,-0.11,1203.94
2020-07-16,53800,900,-1.65,16779127,41031,-1197573,3303905728,55.34,26734.710938,0.5,40.74,0.35,1205.23
2020-07-15,54700,900,1.67,24051450,2163330,5427340,3304889075,55.36,26870.099609,0.5,41.2,-0.33,1201.00
2020-07-14,53800,400,0.75,14269484,-1611705,2298828,3299408509,55.27,26642.589844,0.5,40.3,0.09,1205.01
2020-07-13,53400,700,1.33,12240188,1102235,1085629,3297196342,55.23,26085.800781,0.5,40.06,0.27,1203.87
2020-07-12,53400,700,1.33,12240188,1102235,1085629,3297196342,55.23,26085.800781,0.5,40.56,0.30,1200.62
2020-07-11,53400,700,1.33,12240188,1102235,1085629,3297196342,55.23,26085.800781,0.5,40.56,0.30,1200.62
2020-07-10,52700,100,-0.19,13714746,-3596592,1593159,3295815100,55.21,26075.300781,0.5,40.56,0.30,1200.62
2020-07-09,52800,200,-0.38,17054850,-2283249,1515282,3293470941,55.17,25706.089844,0.5,39.64,0.36,1197.08
2020-07-08,53000,400,-0.75,19664652,-1497777,-219073,3291961659,55.14,26067.279297,0.5,40.91,-0.33,1192.85
2020-07-07,53400,1600,-2.91,30760032,-4064374,-624573,3291151037,55.13,25890.179688,0.5,40.59,0.40,1196.84
2020-07-06,55000,1400,2.61,19856623,4362954,1362620,3291695610,55.14,26287.029297,0.5,40.51,-0.62,1192.05
2020-07-05,55000,1400,2.61,19856623,4362954,1362620,3291695610,55.14,26287.029297,0.5,.,0.02,1199.43
2020-07-04,55000,1400,2.61,19856623,4362954,1362620,3291695610,55.14,26287.029297,0.5,.,0.02,1199.43
2020-07-03,53600,700,1.32,11887868,991665,1635492,3290060990,55.11,26287.029297,0.5,.,0.02,1199.43
2020-07-02,52900,300,0.57,14142583,-470182,-89151,3288523498,55.09,25827.359375,0.5,40.57,-0.20,1199.25
2020-07-01,52600,200,-0.38,16706143,427136,-1647290,3287946503,55.08,25734.970703,0.5,39.88,0.19,1201.67
2020-06-30,52800,400,0.76,21157172,1240703,1632651,3283329948,55.00,25812.880859,0.5,39.27,-0.02,1199.44
2020-06-29,52400,900,-1.69,17776925,-884248,-539375,3281656297,54.97,25595.800781,0.5,39.67,-0.35,1199.66
2020-06-28,52400,900,-1.69,17776925,-884248,-539375,3281656297,54.97,25595.800781,0.5,38.53,0.13,1203.92
2020-06-27,52400,900,-1.69,17776925,-884248,-539375,3281656297,54.97,25595.800781,0.5,38.53,0.13,1203.92
2020-06-26,53300,1400,2.70,21575360,1444962,2271105,3282572808,54.99,25015.550781,0.5,38.53,0.13,1203.92
2020-06-25,51900,1000,-1.89,18541624,-3830158,1596664,3281245382,54.96,25745.599609,0.5,38.66,-0.32,1202.36
2020-06-24,52900,1500,2.92,24519552,1274576,2831536,3285703719,55.04,25445.939453,0.5,37.91,-0.19,1206.20
2020-06-23,51400,600,-1.15,18086152,-1560716,-477586,3287043232,55.06,26156.099609,0.5,40.4,-0.09,1208.46
2020-06-22,52000,900,-1.70,13801350,3638,-1395681,3287560818,55.07,26024.960938,0.5,40.6,-0.20,1209.53
2020-06-21,52000,900,-1.70,13801350,3638,-1395681,3287560818,55.07,26024.960938,0.5,39.72,-0.05,1211.98
2020-06-20,52000,900,-1.70,13801350,3638,-1395681,3287560818,55.07,26024.960938,0.5,39.72,-0.05,1211.98
2020-06-19,52900,600,1.15,18157985,-517686,1985577,3288708153,55.09,25871.460938,0.5,39.72,-0.05,1211.98
2020-06-18,52300,100,0.19,15982926,-409485,265763,3286829576,55.06,26080.099609,0.5,38.79,-0.24,1212.59
2020-06-17,52200,100,0.19,26672595,-151661,1749193,3286480463,55.05,26119.609375,0.5,37.91,0.27,1215.53
2020-06-16,52100,2200,4.41,21808375,3110321,-2126622,3285012646,55.03,26289.980469,0.5,38.26,0.30,1212.29
2020-06-15,49900,2400,-4.59,28772921,-3866544,-1557410,3285960756,55.04,25763.160156,0.5,37.07,0.41,1208.65
2020-06-14,49900,2400,-4.59,28772921,-3866544,-1557410,3285960756,55.04,25763.160156,0.5,36.24,-0.20,1203.77
2020-06-13,49900,2400,-4.59,28772921,-3866544,-1557410,3285960756,55.04,25763.160156,0.5,36.24,-0.20,1203.77
2020-06-12,52300,2000,-3.68,26976019,-1817006,-811871,3286776856,55.06,25605.539063,0.5,36.24,-0.20,1203.77
2020-06-11,54300,1100,-1.99,33815123,-6695404,-1614671,3287082512,55.06,25128.169922,0.5,36.43,1.29,1206.20
2020-06-10,55400,100,-0.18,16742493,1089492,-359734,3288883783,55.09,26989.990234,0.5,39.54,-0.64,1190.79
2020-06-09,55500,600,1.09,23998831,-2723503,1086013,3289773517,55.11,27272.300781,0.5,38.98,0.21,1198.52
2020-06-08,54900,600,-1.08,25634965,-1145041,-1650246,3289350504,55.10,27572.439453,0.5,38.17,-0.51,1195.96
2020-06-07,54900,600,-1.08,25634965,-1145041,-1650246,3289350504,55.10,27572.439453,0.5,39.49,-1.19,1202.10
2020-06-06,54900,600,-1.08,25634965,-1145041,-1650246,3289350504,55.10,27572.439453,0.5,39.49,-1.19,1202.10
2020-06-05,55500,900,1.65,22743629,2748553,-113210,3290944570,55.13,27110.980469,0.5,39.49,-1.19,1202.10
2020-06-04,54600,100,0.18,40220334,1608999,1677893,3290948780,55.13,26281.820313,0.5,37.42,0.05,1216.54
2020-06-03,54500,3100,6.03,49257814,9562698,3308911,3290978887,55.13,26269.890625,0.5,37.33,-0.34,1215.95
2020-06-02,51400,200,0.39,14247933,901384,-343878,3287419976,55.07,25742.650391,0.5,36.88,-0.24,1220.12
2020-06-01,51200,500,0.99,16949183,2097711,-39892,3287872854,55.08,25475.019531,0.5,35.49,-0.69,1223.05
2020-05-31,51200,500,0.99,16949183,2097711,-39892,3287872854,55.08,25475.019531,0.5,35.57,-0.52,1231.59
2020-05-30,51200,500,0.99,16949183,2097711,-39892,3287872854,55.08,25475.019531,0.5,35.57,-0.52,1231.59
2020-05-29,50700,300,0.60,27596961,-1892811,3771073,3287326746,55.07,25383.109375,0.5,35.57,-0.52,1231.59
2020-05-28,50400,500,1.00,31309318,2771160,2427076,3283445773,55.00,25400.640625,0.5,33.67,-0.02,1238.03
2020-05-27,49900,650,1.32,19548479,124198,3030597,3281127993,54.96,25548.269531,0.75,32.8,0.59,1238.26
2020-05-26,49250,400,0.82,15127490,1661696,-849280,3278128396,54.91,24995.109375,0.75,34.7,-0.80,1230.99
2020-05-25,48850,100,0.21,14337913,223787,-2228027,3280425676,54.95,24995.109375,0.75,.,0.02,1240.95
2020-05-24,48850,100,0.21,14337913,223787,-2228027,3280425676,54.95,24995.109375,0.75,33.49,0.60,1240.66
2020-05-23,48850,100,0.21,14337913,223787,-2228027,3280425676,54.95,24995.109375,0.75,33.49,0.60,1240.66
2020-05-22,48750,1200,-2.40,19706284,-2867180,-3513484,3282583517,54.99,24465.160156,0.75,33.49,0.60,1240.66
2020-05-21,49950,50,-0.10,14949266,-2354362,1904733,3286231455,55.05,24474.119141,0.75,34.3,0.48,1233.27
2020-05-20,50000,300,-0.60,14896899,-135032,189065,3284189677,55.01,24575.900391,0.75,33.56,0.18,1227.40
2020-05-19,50300,1500,3.07,25168295,5221214,1789104,3283625878,55.00,24206.859375,0.75,32.3,-0.01,1225.18
2020-05-18,48800,950,1.99,20481981,1776147,1117278,3281319439,54.97,24597.369141,0.75,31.83,-0.64,1225.27
2020-05-17,48800,950,1.99,20481981,1776147,1117278,3281319439,54.97,24597.369141,0.75,29.44,0.46,1233.19
2020-05-16,48800,950,1.99,20481981,1776147,1117278,3281319439,54.97,24597.369141,0.75,29.44,0.46,1233.19
2020-05-15,47850,150,-0.31,18463118,1837854,-2099134,3281944496,54.98,23685.419922,0.75,29.44,0.46,1233.19
2020-05-14,48000,550,-1.13,19305974,-1274757,-1224908,3284058630,55.01,23625.339844,0.75,27.4,0.00,1227.53
2020-05-13,48550,650,1.36,20223277,-499195,-518283,3285433538,55.03,23247.970703,0.75,25.37,0.05,1227.51
2020-05-12,47900,500,-1.03,23433590,-3274163,-1998887,3285179794,55.03,23764.779297,0.75,25.76,0.28,1226.84
2020-05-11,48400,400,-0.82,16357743,-1688512,-1265851,3284649709,55.02,24221.990234,0.75,24.02,0.30,1223.41
2020-05-10,48400,400,-0.82,16357743,-1688512,-1265851,3284649709,55.02,24221.990234,0.75,24.73,-0.03,1219.80
2020-05-09,48400,400,-0.82,16357743,-1688512,-1265851,3284649709,55.02,24221.990234,0.75,24.73,-0.03,1219.80
2020-05-08,48800,0,0.00,15319700,1042243,-2215231,3286011560,55.04,24331.320313,0.75,24.73,-0.03,1219.80
2020-05-07,48800,400,-0.81,13884411,101232,-1436754,3287441055,55.07,23875.890625,0.75,23.68,-0.77,1220.11
2020-05-06,49200,700,1.44,18070225,999598,-1676942,3288439782,55.08,23664.640625,0.75,23.88,0.57,1229.55
2020-05-05,49200,700,1.44,18070225,999598,-1676942,3288439782,55.08,23883.089844,0.75,24.56,-0.13,1222.57
2020-05-04,48500,1500,-3.00,26083749,-5100257,-5896678,3290008482,55.11,23749.759766,0.75,20.47,-0.06,1224.18
2020-05-03,48500,1500,-3.00,26083749,-5100257,-5896678,3290008482,55.11,23749.759766,0.75,19.72,0.91,1224.93
2020-05-02,48500,1500,-3.00,26083749,-5100257,-5896678,3290008482,55.11,23749.759766,0.75,19.72,0.91,1224.93
2020-05-01,48500,1500,-3.00,26083749,-5100257,-5896678,3290008482,55.11,23723.689453,0.75,19.72,0.91,1224.93
2020-04-30,48500,1500,-3.00,26083749,-5100257,-5896678,3290008482,55.11,24345.720703,0.75,19.23,0.23,1213.94
2020-04-29,50000,100,-0.20,15604533,389165,110873,3298091160,55.25,24633.859375,0.75,15.04,-0.88,1211.10
2020-04-28,50100,250,0.50,16095399,-918536,591555,3296993918,55.23,24101.550781,0.75,12.4,-0.05,1221.81
2020-04-27,49850,500,1.01,14049471,2250026,-286209,3297069809,55.23,24133.779297,0.75,12.17,-0.66,1222.45
2020-04-26,49850,500,1.01,14049471,2250026,-286209,3297069809,55.23,24133.779297,0.75,15.99,-0.24,1230.62
2020-04-25,49850,500,1.01,14049471,2250026,-286209,3297069809,55.23,24133.779297,0.75,15.99,-0.24,1230.62
2020-04-24,49350,500,-1.00,15618347,-2717826,626856,3294906018,55.19,23775.269531,0.75,15.99,-0.24,1230.62
2020-04-23,49850,0,0.00,18754442,704438,-936098,3296671260,55.22,23515.259766,0.75,15.06,-0.04,1233.54
2020-04-22,49850,600,1.22,18613864,-2563503,771282,3296821358,55.23,23475.820313,0.75,13.64,0.04,1234.05
2020-04-21,49250,850,-1.70,27407543,-1675809,-3781566,3295280076,55.20,23018.880859,0.75,8.91,1.06,1233.56
2020-04-20,50100,1300,-2.53,21866354,-3573780,-1251874,3297064694,55.23,23650.439453,0.75,-36.98,0.36,1220.62
2020-04-19,50100,1300,-2.53,21866354,-3573780,-1251874,3297064694,55.23,23650.439453,0.75,18.31,-1.04,1216.24
2020-04-18,50100,1300,-2.53,21866354,-3573780,-1251874,3297064694,55.23,23650.439453,0.75,18.31,-1.04,1216.24
2020-04-17,51400,2400,4.90,32041675,2323777,5171880,3295137974,55.20,24242.490234,0.75,18.31,-1.04,1216.24
2020-04-16,49000,0,0.00,23349760,322641,-1070848,3288869291,55.09,23537.679688,0.75,19.82,0.35,1228.98
2020-04-15,49000,0,0.00,23349760,322641,-1070848,3288869291,55.09,23504.349609,0.75,19.96,1.01,1224.72
2020-04-14,49000,700,1.45,14206216,2641367,462546,3286436585,55.05,23949.759766,0.75,20.15,-0.28,1212.50
2020-04-13,48300,950,-1.93,14431800,-2927673,-351433,3287412726,55.07,23390.769531,0.75,22.36,0.36,1215.96
2020-04-12,48300,950,-1.93,14431800,-2927673,-351433,3287412726,55.07,23390.769531,0.75,.,0.04,1211.55
2020-04-11,48300,950,-1.93,14431800,-2927673,-351433,3287412726,55.07,23390.769531,0.75,.,0.04,1211.55
2020-04-10,49250,150,0.31,17839111,-2431095,519504,3288583502,55.09,23390.769531,0.75,.,0.04,1211.55
2020-04-09,49100,500,1.03,22628058,-1336475,97223,3287903491,55.08,23719.369141,0.75,22.9,-0.43,1211.08
